CT,DT,Dt,QmT,TT,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo
930,895.812,70.2,60,160,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17
30,30,0,30,650,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0
30,30,0,30,550,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0
30,30,0,30,600,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0
30,30,0,30,650,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0
30,30,0,30,650,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0
30,30,0,30,580,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24
930,850,15,60,200,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21
30,30,0,30,550,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0
30,30,0,30,680,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0
930,895.812,70.2,140,160,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17
30,30,0,30,550,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0
30,30,0,30,650,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0
30,30,0,30,550,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0
30,30,0,30,650,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17
930,895.812,70.2,60,200,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02
30,30,0,30,550,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0
30,30,0,30,650,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0
30,30,0,30,650,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0
30,30,0,30,600,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16
30,30,0,30,550,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0
30,30,0,30,30,0,0.26,0.22,0.45,0.026,0.026,0.02,0.05,0.03,0
30,30,0,30,650,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17
30,30,0,30,600,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0
30,30,0,30,600,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0
30,30,0,30,550,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0
30,30,0,30,550,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0
30,30,0,30,630,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17
30,30,0,30,500,24,0.59,1.99,0.92,0.027,0.01,0.01,0.15,0.01,0
30,30,0,30,650,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0
930,850,15,60,160,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21
30,30,0,30,600,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0
30,30,0,30,650,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0
30,30,0,30,550,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0
30,30,0,30,650,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0
30,30,0,30,600,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0
30,30,0,30,430,24,0.61,2.05,0.86,0.019,0.014,0.16,0.16,0.12,0
30,30,0,30,550,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15
30,30,0,30,550,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0
30,30,0,30,600,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17
30,30,0,30,600,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0
30,30,0,30,600,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18
30,30,0,30,600,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0
30,30,0,30,550,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17
30,30,0,30,550,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0
30,30,0,30,650,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0
30,30,0,30,600,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0
30,30,0,30,650,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0
30,30,0,30,550,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0
30,30,0,30,30,0,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0
30,30,0,30,600,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0
30,30,0,30,550,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0
30,30,0,30,650,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18
30,30,0,30,630,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0
30,30,0,30,550,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0
30,30,0,30,550,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0
30,30,0,30,550,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16
30,30,0,30,650,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0
30,30,0,30,650,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0
30,30,0,30,550,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0
30,30,0,30,600,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15
930,895.812,70.2,140,160,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02
30,30,0,30,580,24,0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24
30,30,0,30,650,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16
30,30,0,30,550,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0
30,30,0,30,580,24,0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0
30,30,0,30,680,24,0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22
30,30,0,30,680,24,0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0
30,30,0,30,680,24,0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0
30,30,0,30,600,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0
30,30,0,30,650,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0
30,30,0,30,600,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16
30,30,0,30,680,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16
30,30,0,30,650,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19
30,30,0,30,650,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0
30,30,0,30,600,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16
30,30,0,30,600,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0
30,30,0,30,550,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0
30,30,0,30,650,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16
30,30,0,30,550,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0
30,30,0,30,630,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23
30,30,0,30,630,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16
30,30,0,30,680,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17
30,30,0,30,680,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24
30,30,0,30,600,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0
30,30,0,30,650,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17
30,30,0,30,650,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0
30,30,0,30,650,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0
30,30,0,30,630,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24
930,850,15,140,160,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21
30,30,0,30,600,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0
930,903.333,45,140,160,0.5,0.2,0.32,0.77,0.024,0.028,0.46,0.47,0.2,0.19
30,30,0,30,650,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0
30,30,0,30,650,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16
30,30,0,30,600,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0
30,30,0,30,500,24,0.61,2.05,0.86,0.019,0.014,0.16,0.16,0.12,0
30,30,0,30,650,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0
30,30,0,30,30,0,0.27,0.23,0.37,0.008,0.03,0.06,0.1,0.09,0
30,30,0,30,650,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0
930,895.812,70.2,60,160,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15
30,30,0,30,550,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0
30,30,0,30,550,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0
30,30,0,30,630,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24
30,30,0,30,550,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0
30,30,0,30,630,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18
930,850,15,60,160,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18
30,30,0,30,580,24,0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19
30,30,0,30,650,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0
30,30,0,30,550,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21
30,30,0,30,430,24,0.59,1.99,0.92,0.027,0.01,0.01,0.15,0.01,0
30,30,0,30,430,24,0.53,1.49,0.69,0.011,0.007,0.02,0.74,0.01,0
930,895.812,70.2,60,200,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03
30,30,0,30,550,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18
30,30,0,30,490,24,0.61,0.28,0.87,0.019,0.02,0.08,0.87,0.2,0.05
30,30,0,30,600,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0
30,30,0,30,650,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0
30,30,0,30,650,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0
30,30,0,30,580,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24
930,850,15,60,200,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18
30,30,0,30,430,24,0.53,1.31,0.75,0.004,0.004,0.04,0.63,0.06,0.01
30,30,0,30,580,24,0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18
30,30,0,30,580,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0
30,30,0,30,650,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0
30,30,0,30,600,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0
30,30,0,30,550,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0
30,30,0,30,580,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23
30,30,0,30,30,0,0.28,0.27,0.5,0.021,0.018,0.02,0.03,0.01,0
30,30,0,30,600,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0
30,30,0,30,600,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0
30,30,0,30,550,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15
30,30,0,30,30,0,0.26,0.27,0.43,0.008,0.015,0.02,0.03,0.01,0
30,30,0,30,550,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0
30,30,0,30,680,24,0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22
30,30,0,30,650,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0
30,30,0,30,600,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0
30,30,0,30,600,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18
30,30,0,30,550,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19
30,30,0,30,30,0,0.22,0.26,0.47,0.021,0.023,0.02,0.02,0.01,0
30,30,0,30,600,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0
30,30,0,30,600,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18
30,30,0,30,550,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0
30,30,0,30,650,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0
930,895.517,34.8,60,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16
30,30,0,30,580,24,0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0
30,30,0,30,650,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16
930,882.381,25.2,60,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17
30,30,0,30,650,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17
30,30,0,30,600,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19
30,30,0,30,650,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0
30,30,0,30,600,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17
30,30,0,30,550,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18
30,30,0,30,600,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19
30,30,0,30,600,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0
30,30,0,30,650,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0
30,30,0,30,630,24,0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0
30,30,0,30,550,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17
30,30,0,30,550,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17
930,895.812,70.2,60,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03
30,30,0,30,650,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17
30,30,0,30,600,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0
30,30,0,30,600,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0
30,30,0,30,600,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0
30,30,0,30,550,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16
30,30,0,30,630,24,0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19
930,895.517,34.8,60,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03
30,30,0,30,680,24,0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24
30,30,0,30,600,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0
30,30,0,30,600,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0
30,30,0,30,600,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0
30,30,0,30,650,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0
30,30,0,30,650,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18
30,30,0,30,580,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17
30,30,0,30,680,24,0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0
930,881.807,49.8,60,160,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15
30,30,0,30,650,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19
30,30,0,30,650,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18
30,30,0,30,30,0,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0
930,895.812,70.2,140,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03
30,30,0,30,650,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0
30,30,0,30,550,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0
30,30,0,30,600,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0
30,30,0,30,550,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0
930,903.333,45,140,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16
30,30,0,30,550,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22
30,30,0,30,580,24,0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22
30,30,0,30,650,24,0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0
30,30,0,30,650,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0
30,30,0,30,550,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0
30,30,0,30,550,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0
30,30,0,30,490,24,0.63,0.17,0.77,0.026,0.014,0.03,0.81,0.02,0.01
30,30,0,30,550,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0
30,30,0,30,600,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0
30,30,0,30,500,24,0.53,1.31,0.75,0.007,0.003,0.04,0.64,0.06,0.01
30,30,0,30,650,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0
30,30,0,30,600,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16
30,30,0,30,550,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0
930,895.517,34.8,60,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17
30,30,0,30,430,24,0.6,1.96,0.85,0.019,0.004,0.05,0.15,0.12,0
30,30,0,30,550,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0
30,30,0,30,630,24,0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18
30,30,0,30,650,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0
30,30,0,30,650,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21
30,30,0,30,650,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0
30,30,0,30,580,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18
30,30,0,30,550,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0
30,30,0,30,550,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16
30,30,0,30,650,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0
30,30,0,30,550,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0
930,882.381,25.2,60,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16
30,30,0,30,650,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0
30,30,0,30,680,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24
30,30,0,30,650,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0
30,30,0,30,550,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0
30,30,0,30,600,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0
30,30,0,30,550,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0
30,30,0,30,580,24,0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23
30,30,0,30,550,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16
930,850,15,140,160,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18
